Date,AQI
2020/1/1,28
2020/1/2,43
2020/1/3,98
2020/1/4,144
2020/1/5,134
2020/1/6,114
2020/1/7,121
2020/1/8,69
2020/1/9,71
2020/1/10,82
2020/1/11,83
2020/1/12,40
2020/1/13,65
2020/1/14,62
2020/1/15,77
2020/1/16,67
2020/1/17,39
2020/1/18,55
2020/1/19,80
2020/1/20,72
2020/1/21,87
2020/1/22,130
2020/1/23,115
2020/1/24,97
2020/1/25,48
2020/1/26,27
2020/1/27,28
2020/1/28,30
2020/1/29,33
2020/1/30,70
2020/1/31,85
2020/2/1,93
2020/2/2,85
2020/2/3,59
2020/2/4,55
2020/2/5,38
2020/2/6,55
2020/2/7,31
2020/2/8,40
2020/2/9,53
2020/2/10,79
2020/2/11,23
2020/2/12,100
2020/2/13,106
2020/2/14,71
2020/2/15,73
2020/2/16,32
2020/2/17,48
2020/2/18,42
2020/2/19,68
2020/2/20,64
2020/2/21,78
2020/2/22,79
2020/2/23,78
2020/2/24,135
2020/2/25,99
2020/2/26,65
2020/2/27,64
2020/2/28,90
2020/2/29,98
2020/3/1,83
2020/3/2,44
2020/3/3,57
2020/3/4,57
2020/3/5,32
2020/3/6,63
2020/3/7,64
2020/3/8,77
2020/3/9,61
2020/3/10,32
2020/3/11,63
2020/3/12,101
2020/3/13,72
2020/3/14,43
2020/3/15,77
2020/3/16,104
2020/3/17,85
2020/3/18,101
2020/3/19,100
2020/3/20,87
2020/3/21,91
2020/3/22,82
2020/3/23,80
2020/3/24,76
2020/3/25,91
2020/3/26,83
2020/3/27,63
2020/3/28,31
2020/3/29,46
2020/3/30,60
2020/3/31,53
2020/4/1,43
2020/4/2,50
2020/4/3,63
2020/4/4,53
2020/4/5,54
2020/4/6,50
2020/4/7,42
2020/4/8,57
2020/4/9,59
2020/4/10,79
2020/4/11,84
2020/4/12,49
2020/4/13,100
2020/4/14,94
2020/4/15,98
2020/4/16,86
2020/4/17,79
2020/4/18,76
2020/4/19,58
2020/4/20,62
2020/4/21,68
2020/4/22,40
2020/4/23,49
2020/4/24,43
2020/4/25,82
2020/4/26,62
2020/4/27,60
2020/4/28,72
2020/4/29,82
2020/4/30,93
2020/5/1,83
2020/5/2,62
2020/5/3,45
2020/5/4,43
2020/5/5,47
2020/5/6,35
2020/5/7,38
2020/5/8,39
2020/5/9,26
2020/5/10,32
2020/5/11,55
2020/5/12,66
2020/5/13,112
2020/5/14,67
2020/5/15,55
2020/5/16,47
2020/5/17,28
2020/5/18,26
2020/5/19,30
2020/5/20,45
2020/5/21,38
2020/5/22,34
2020/5/23,34
2020/5/24,64
2020/5/25,45
2020/5/26,29
2020/5/27,29
2020/5/28,38
2020/5/29,39
2020/5/30,26
2020/5/31,30
2020/6/1,27
2020/6/2,27
2020/6/3,29
2020/6/4,31
2020/6/5,25
2020/6/6,20
2020/6/7,28
2020/6/8,23
2020/6/9,21
2020/6/10,39
2020/6/11,31
2020/6/12,28
2020/6/13,45
2020/6/14,33
2020/6/15,32
2020/6/16,30
2020/6/17,31
2020/6/18,32
2020/6/19,30
2020/6/20,31
2020/6/21,45
2020/6/22,23
2020/6/23,27
2020/6/24,27
2020/6/25,25
2020/6/26,28
2020/6/27,34
2020/6/28,28
2020/6/29,28
2020/6/30,27
2020/7/1,24
2020/7/2,26
2020/7/3,34
2020/7/4,32
2020/7/5,32
2020/7/6,30
2020/7/7,29
2020/7/8,24
2020/7/9,21
2020/7/10,25
2020/7/11,29
2020/7/12,32
2020/7/13,42
2020/7/14,44
2020/7/15,36
2020/7/16,20
2020/7/17,28
2020/7/18,30
2020/7/19,31
2020/7/20,33
2020/7/21,28
2020/7/22,30
2020/7/23,36
2020/7/24,30
2020/7/25,28
2020/7/26,31
2020/7/27,28
2020/7/28,28
2020/7/29,35
2020/7/30,54
2020/7/31,46
2020/8/1,77
2020/8/2,43
2020/8/3,27
2020/8/4,28
2020/8/5,38
2020/8/6,31
2020/8/7,44
2020/8/8,42
2020/8/9,37
2020/8/10,46
2020/8/11,31
2020/8/12,47
2020/8/13,32
2020/8/14,31
2020/8/15,35
2020/8/16,47
2020/8/17,51
2020/8/18,132
2020/8/19,97
2020/8/20,101
2020/8/21,87
2020/8/22,47
2020/8/23,40
2020/8/24,64
2020/8/25,71
2020/8/26,37
2020/8/27,28
2020/8/28,38
2020/8/29,80
2020/8/30,61
2020/8/31,48
2020/9/1,50
