Date,Elec
2020/1/1,207.9
2020/1/2,207.5
2020/1/3,210.3
2020/1/4,208.1
2020/1/5,207.8
2020/1/6,207.7
2020/1/7,205.6
2020/1/8,207
2020/1/9,205.3
2020/1/10,190.9
2020/1/11,209.6
2020/1/12,210
2020/1/13,207
2020/1/14,206.5
2020/1/15,211.6
2020/1/16,209.4
2020/1/17,205.8
2020/1/18,206.9
2020/1/19,207.1
2020/1/20,214.2
2020/1/21,208.6
2020/1/22,207.7
2020/1/23,180.5
2020/1/24,92.3
2020/1/25,189.5
2020/1/26,210.2
2020/1/27,211.6
2020/1/28,210.4
2020/1/29,210.2
2020/1/30,207
2020/1/31,206.7
2020/2/1,262.4
2020/2/2,261.3
2020/2/3,261.6
2020/2/4,356.9
2020/2/5,325.6
2020/2/6,344.3
2020/2/7,316.8
2020/2/8,330.7
2020/2/9,337.6
2020/2/10,295.3
2020/2/11,330.3
2020/2/12,344.2
2020/2/13,334.1
2020/2/14,347.2
2020/2/15,364.9
2020/2/16,335.9
2020/2/17,250.6
2020/2/18,324.1
2020/2/19,316.9
2020/2/20,313.3
2020/2/21,340.8
2020/2/22,339.9
2020/2/23,342.3
2020/2/24,363.9
2020/2/25,384.8
2020/2/26,377
2020/2/27,300.5
2020/2/28,311.8
2020/2/29,334.4
2020/3/1,360.5
2020/3/2,352.8
2020/3/3,354.9
2020/3/4,314
2020/3/5,314
2020/3/6,331.4
2020/3/7,311.2
2020/3/8,316.2
2020/3/9,354
2020/3/10,326.1
2020/3/11,354.1
2020/3/12,354.3
2020/3/13,340.7
2020/3/14,363.7
2020/3/15,290.3
2020/3/16,309.9
2020/3/17,308
2020/3/18,371.2
2020/3/19,402.5
2020/3/20,346.5
2020/3/21,221.8
2020/3/22,304.8
2020/3/23,324.9
2020/3/24,311.5
2020/3/25,314.5
2020/3/26,371.2
2020/3/27,399.8
2020/3/28,311.3
2020/3/29,312.8
2020/3/30,321
2020/3/31,346.2
2020/4/1,344.1
2020/4/2,255.9
2020/4/3,325
2020/4/4,312.6
2020/4/5,279.2
2020/4/6,328
2020/4/7,319.1
2020/4/8,289.9
2020/4/9,311.7
2020/4/10,313.9
2020/4/11,283.9
2020/4/12,291.5
2020/4/13,303.8
2020/4/14,299.9
2020/4/15,305
2020/4/16,322.8
2020/4/17,341.7
2020/4/18,330.8
2020/4/19,347.6
2020/4/20,389.5
2020/4/21,405.9
2020/4/22,362.6
2020/4/23,365.7
2020/4/24,364.1
2020/4/25,345.2
2020/4/26,347.8
2020/4/27,348
2020/4/28,352.8
2020/4/29,301.6
2020/4/30,278.7
2020/5/1,294
2020/5/2,300.8
2020/5/3,334.4
2020/5/4,351.4
2020/5/5,351.2
2020/5/6,351.6
2020/5/7,351.1
2020/5/8,351.4
2020/5/9,337.6
2020/5/10,343.6
2020/5/11,342.8
2020/5/12,353.1
2020/5/13,342.3
2020/5/14,337.3
2020/5/15,348.6
2020/5/16,347.9
2020/5/17,340.2
2020/5/18,339.8
2020/5/19,345.4
2020/5/20,345.7
2020/5/21,344
2020/5/22,339.6
2020/5/23,310.2
2020/5/24,341.2
2020/5/25,344.8
2020/5/26,297.6
2020/5/27,297.6
2020/5/28,299.2
2020/5/29,299.5
2020/5/30,345
2020/5/31,341.7
2020/6/1,345.6
2020/6/2,349.3
2020/6/3,351.8
2020/6/4,354.4
2020/6/5,346.7
2020/6/6,341.1
2020/6/7,342.6
2020/6/8,349.2
2020/6/9,350.7
2020/6/10,351.8
2020/6/11,355
2020/6/12,349
2020/6/13,317.6
2020/6/14,361
2020/6/15,356.2
2020/6/16,357.1
2020/6/17,356.6
2020/6/18,354.9
2020/6/19,355.1
2020/6/20,361.8
2020/6/21,358.1
2020/6/22,361.4
2020/6/23,357.4
2020/6/24,395.3
2020/6/25,313.1
2020/6/26,360.1
2020/6/27,323.4
2020/6/28,362.9
2020/6/29,403.7
2020/6/30,415.1
2020/7/1,411
2020/7/2,412.5
2020/7/3,411.3
2020/7/4,405.7
2020/7/5,407.7
2020/7/6,406.5
2020/7/7,405
2020/7/8,404.3
2020/7/9,407.5
2020/7/10,405.4
2020/7/11,362.1
2020/7/12,410.5
2020/7/13,412.5
2020/7/14,412.3
2020/7/15,449.5
2020/7/16,458.2
2020/7/17,434.5
2020/7/18,455.4
2020/7/19,456.4
2020/7/20,461.8
2020/7/21,463.3
2020/7/22,459
2020/7/23,446
2020/7/24,446.1
2020/7/25,443
2020/7/26,447.1
2020/7/27,400.9
2020/7/28,404.7
2020/7/29,438.2
2020/7/30,456.8
2020/7/31,451.2
2020/8/1,439.1
2020/8/2,424.2
2020/8/3,433.8
2020/8/4,380.8
2020/8/5,407.3
2020/8/6,388.4
2020/8/7,391.9
2020/8/8,401
2020/8/9,393.8
2020/8/10,393.3
2020/8/11,393.3
2020/8/12,407.5
2020/8/13,404.8
2020/8/14,404.5
2020/8/15,408.6
2020/8/16,409.8
2020/8/17,392.7
2020/8/18,421.2
2020/8/19,453.8
2020/8/20,460.6
2020/8/21,428.7
2020/8/22,429.6
2020/8/23,459.7
2020/8/24,466.6
2020/8/25,458.8
2020/8/26,450.6
2020/8/27,447.3
2020/8/28,456.9
2020/8/29,427.4
2020/8/30,457.1
2020/8/31,410.2
2020/9/1,412.1
2020/9/2,411
2020/9/3,459.2
2020/9/4,465.6
2020/9/5,436
2020/9/6,467.5
2020/9/7,459.4
2020/9/8,381.1
2020/9/9,378.8
2020/9/10,381.4
2020/9/11,403.8
